x,y
0.0876,0
0.03917,0
0.05938,0
0.0856,0
0.06625,0
0.07682,0
0.0595,0
0.04571,0
0.05578,0
0.09113,0
0.05567,0
0.0564,0
0.0569,0
0.06333,0
0.0714,0
0.07312,0
0.06257,0
0.06145,0
0.10022,0
0.05029,0
0.05743,0
0.04071,0
0.03643,0
0.0587,0
0.09545,0
0.02883,0
0.05088,0
0.0598,0
0.04025,0
0.06882,0
0.0861,0
0.08386,0
0.05978,0
0.14812,1
0.3832,0
0.127,0
0.0949,0
0.085,0
0.05244,0
0.0685,0
0.04912,0
0.0462,0
0.06978,0
0.068,0
0.057,0
0.06629,0
0.04929,0
0.0646,0
0.0926,0
0.06129,0
0.0805,1
0.3943,1
0.20287,0
0.19833,0
0.15925,1
0.3,1
0.517,1
0.77329,1
0.2536,1
0.3555,1
0.56867,1
0.43188,1
0.2504,1
0.24312,0
0.1505,0
0.0817,0
0.05812,0
0.14471,0
0.12367,0
0.078,0
0.072,0
0.1242,0
0.1291,0
0.16267,0
0.06237,0
0.173,1
0.37825,1
0.49982,1
0.64986,1
0.291,0
0,1
